scenario,registry_id,module_name,adapter_class,source_repo,evidence_level,status,claim_scope,chapter_section
HYBRID-XIRIS biometric pipeline,hybrid_xiris,HYBRID-XIRIS biometric pipeline,medical_image_to_explanation,https://github.com/lebedeffson/hybrid-xiris-biometric,repository-output-level,real-output-compatible,"adapter compatibility and evidence routing, not local model retraining",5.x
GD-ANFIS / SHAP scenario,gd_anfis_shap,GD-ANFIS / SHAP scenario,tabular_to_explanation,source-not-provided:gd_anfis_shap,source-pending,source-pending,registered central chapter 5 scenario; excluded from quantitative claims until source repository is pinned,5.x
ANZA-LIRA vessel segmentation,anza_lira,ANZA-LIRA vessel segmentation,medical_image_to_explanation,https://github.com/fims9000/anza_lira,repository-output-level,fixture-certified,"vessel-segmentation adapter route and report generation, not local model retraining",5.x
BEACON-XAI scenario,beacon_xai,BEACON-XAI scenario,report_to_explanation,source-not-provided:beacon_xai,source-pending,source-pending,registered central chapter 5 scenario; excluded from quantitative claims until source repository is pinned,5.x
GIS INTEGRO scenario,gis_integro,GIS INTEGRO scenario,report_to_explanation,source-not-provided:gis_integro,source-pending,source-pending,registered central chapter 5 scenario; excluded from quantitative claims until source repository is pinned,5.x
Deep Neuro-Fuzzy / Routed KAFN,deep_neuro_fuzzy_kafn,Deep Neuro-Fuzzy / Routed KAFN,tabular_to_explanation,https://github.com/lebedeffson/deep-neuro-fuzzy,repository-output-level,fixture-certified,fixed fixture adapter run with source provenance,5.x
Fuzzy Attention Networks,fan_multimodal,Fuzzy Attention Networks,tabular_to_explanation,https://github.com/lebedeffson/FuzzyAttentionNetworks,fixture-level,fixture-certified,concept-level fuzzy attention scenario,5.x
KAN-XAI 2.0 System,kan_xai_2_system,KAN-XAI 2.0 System,medical_image_to_explanation,https://github.com/fims9000/KAN-XAI-2.0-System,repository-output-level,fixture-certified,"medical image explanation adapter route, not local model retraining",5.x
Trust-ADE,trust_ade,Trust-ADE,trust_report_to_observer,https://github.com/fims9000/Trust-ADE,repository-output-level,fixture-certified,trust-assessment report route and observer compatibility,5.x
SYNT-ISIC / Time-SHAP,synt_isic_timeshap,SYNT-ISIC / Time-SHAP,temporal_xai_to_explanation,https://github.com/fims9000/SYNT_ISIC,repository-output-level,fixture-certified,"temporal explanation route and report generation, not local dermatology validation",5.x
EAAR attribution regularization,eaar_regularization,EAAR attribution regularization,planned,https://github.com/lebedeffson/eaar-regularization,planned,planned,"registered future adapter, excluded from quantitative claims",appendix/future work
Bonner SHAP reconstruction,neutron_shap_reconstruction,Bonner SHAP reconstruction,planned,https://github.com/lebedeffson/bonner-shap-reconstruction,planned,planned,"registered future adapter, excluded from quantitative claims",appendix/future work
